age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
19,M,755,En Couple,1,false,8566 YU 44
21,M,561,En Couple,0,true,8994 WM 78
61,M,569,En Couple,0,false,5011 MC 86
57,F,173,Célibataire,0,false,1361 OK 13
38,Masculin,231,Célibataire,0,false,9882 JB 87
59,F,838,En Couple,0,false,639 VI 75
21,M,188,Célibataire,0,false,1515 GB 19
26,M,921,Célibataire,0,false,5728 ZU 70
18,F,489,Seule,3,false,8912 VY 23
26,M,580,En Couple,0,false,6725 HT 68
27,M,465,En Couple,1,false,9005 QX 69
59,M,904,En Couple,0,false,118 ZS 79
53,M,1018,Célibataire,0,false,1954 AW 19
77,M,1265,En Couple,2,false,279 KM 29
84,M,572,En Couple,4,true,5734 UQ 67
28,F,484,En Couple,3,false,9989 CS 46
26,M,202,En Couple,3,false,3803 LY 21
35,F,1386,En Couple,1,false,4712 LP 95
44,M,482,En Couple,0,false,2047 NX 61
70,M,1254,Célibataire,0,false,4545 OX 10
40,F,855,En Couple,2,false,2614 OL 23
30,F,236,Célibataire,0,false,5546 CM 68
31,M,871,En Couple,0,false,9570 DK 67
47,F,203,En Couple,0,false,7306 UV 50
27,M,537,En Couple,4,false,3885 EL 11
36,M,523,Célibataire,0,false,6752 FA 66
58,F,226,En Couple,1,false,7723 QG 56
78,M,237,En Couple,0,false,8661 JE 16
74,M,557,En Couple,1,false,5723 YM 15
60,F,205,Célibataire,0,false,9148 ZW 76
42,F,424,En Couple,2,false,4 RH 44
47,M,857,En Couple,4,true,2915 ZV 92
55,F,509,En Couple,3,false,7562 TM 72
52,M,1064,Célibataire,0,false,305 AA 55
47,M,503,En Couple,2,false,2728 CJ 36
22,F,738,En Couple,2,false,1608 LV 75
24,M,225,Célibataire,0,false,7956 YX 72
77,M,225,En Couple,3,false,770 AQ 33
23,F,419,Célibataire,0,false,1552 PC 74
59,M,551,En Couple,2,true,9076 MB 18
35,M,466,Célibataire,0,false,8405 XM 29
80,M,500,En Couple,3,false,6111 PH 73
56,M,410,Célibataire,0,false,4631 WB 50
59,M,1291,En Couple,1,true,1532 QB 32
69,M,1243,En Couple,0,false,390 HB 61
49,M,167,En Couple,4,false,9550 CJ 63
66,F,944,En Couple,0,true,1448 KZ 96
24,M,233,Seule,3,false,4241 VD 27
65,F,758,Célibataire,0,false,1842 NJ 71
46,M,445,Célibataire,0,false,2830 BA 36
33,F,240,Seule,3,false,8926 SH 22
78,F,445,Seule,2,false,150 KU 56
43,M,967,Célibataire,0,false,4740 YY 82
57,M,484,En Couple,3,false,52 KV 55
40,M,519,En Couple,2,false,2051 UT 25
53,F,978,En Couple,2,false,4622 UE 96
55,N/D,408,En Couple,0,false,9990 WX 23
23,M,1211,En Couple,1,false,5010 EM 33
55,F,495,Seule,1,false,7841 ME 49
41,M,469,Célibataire,0,false,363 KJ 48
74,F,1132,Célibataire,0,false,5954 NQ 32
19,M,198,Célibataire,0,false,3978 UZ 36
45,M,772,En Couple,3,false,7122 QA 17
51,M,505,Célibataire,0,false,5391 AT 88
40,M,448,En Couple,1,false,4820 SY 35
32,M,482,Célibataire,0,false,7023 GT 52
45,M,560,En Couple,0,false,306 RH 83
23,F,512,En Couple,0,false,77 SO 73
19,F,1391,En Couple,4,false,5941 SE 91
23,M,507,Célibataire,0,false,3603 ST 74
33,M,818,En Couple,2,false,8043 PX 41
80,M,517,En Couple,0,false,8743 XS 62
58,M,788,En Couple,1,false,5952 LK 64
23,M,171,En Couple,1,false,3849 RG 51
19,M,775,Seule,1,false,2760 UF 75
71,M,889,Célibataire,0,false,7329 OX 14
57,F,214,Célibataire,0,false,2704 WS 54
49,M,533,En Couple,4,false,7315 QQ 70
74,F,569,Célibataire,0,false,258 EK 93
80,M,894,En Couple,2,true,9836 BN 23
50,F,445,En Couple,3,false,4895 MU 39
40,M,1194,En Couple,0,false,2547 JL 26
29,M,1390,En Couple,4,false,148 KL 76
36,F,976,En Couple,4,false,1483 GK 52
20,M,855,En Couple,3,false,3320 RH 44
20,F,852,Célibataire,?,false,397 JW 30
51,M,236,Célibataire,0,false,6937 HQ 70
60,M,599,Célibataire,0,false,1344 XU 97
32,F,1224,Célibataire,0,false,7556 ED 17
35,M,1222,En Couple,2,false,6803 DI 67
72,M,519,En Couple,1,false,3308 SM 61
21,F,579,En Couple,1,false,8558 KD 46
29,F,705,En Couple,0,false,1376 PW 61
58,M,582,Célibataire,0,false,871 IC 57
24,M,234,En Couple,0,false,8295 PT 62
71,F,571,Célibataire,0,false,1432 BC 67
55,M,564,En Couple,1,false,8612 UI 43
50,M,850,En Couple,0,false,5803 HB 28
27,F,180,En Couple,1,false,8308 CD 92
53,F,917,En Couple,3,true,4400 ZU 64
36,F,1086,En Couple,4,false,8380 RW 85
73,M,1097,En Couple,0,false,7619 QX 35
37,M,906,En Couple,0,false,3645 HG 64
26,M,936,Célibataire,0,false,9401 HI 23
53,M,1071,Seule,2,false,6034 ZC 94
75,M,205,En Couple,1,false,6320 RP 10
55,M,453,En Couple,0,false,9454 XV 33
67,F,433,Célibataire,0,false,6564 MT 94
22,M,536,En Couple,1,false,3153 UG 11
51,M,561,Célibataire,0,false,998 RH 58
28,F,907,En Couple,1,false,881 HS 62
49,M,595,Célibataire,0,false,5557 NF 29
42,M,161,En Couple,0,false,3827 DS 37
53,M,434,En Couple,2,false,759 UC 61
53,M,493,En Couple,1,false,4273 CY 74
32,M,792,En Couple,1,false,5805 VY 13
50,M,1271,En Couple,2,false,5186 GL 77
38,F,754,En Couple,1,false,3844 LM 90
55,F,231,Célibataire,0,false,5047 LE 85
24,M,474,En Couple,4,false,785 QI 83
49,M,439,En Couple,4,false,3977 PQ 91
27,M,1011,Célibataire,0,false,9474 IH 18
38,F,428,En Couple,3,false,8494 RJ 49
19,M,407,En Couple,2,true,4529 IP 20
19,M,551,En Couple,0,false,3412 ES 83
23,M,564,En Couple,0,false,4961 OG 54
47,M,738,En Couple,1,false,7970 CL 44
27,F,485,Célibataire,0,false,1969 XF 90
30,M,444,Célibataire,0,false,7563 OZ 14
80,F,241,En Couple,0,false,2582 CI 16
26,M,538,Célibataire,0,false,8427 PK 74
22,M,1383,Célibataire,0,false,7538 FQ 67
-1,F,452,Célibataire,0,false,1386 ZS 84
63,M,453,Célibataire,0,false,4897 CJ 21
26,M,423,Célibataire,0,false,5238 UA 42
52,M,486,Célibataire,0,false,9944 DO 58
19,F,535,En Couple,4,false,4122 CR 20
77,M,172,Seule,2,false,631 SR 43
23,F,427,En Couple,1,false,7116 LF 82
32,M,424,Seule,2,false,1510 QB 39
77,F,1138,Célibataire,0,false,5432 EM 54
80,F,472,En Couple,2,false,1368 QV 41
20,M,424,Célibataire,0,false,8695 RM 47
22,M,547,En Couple,2,false,5068 KN 53
18,F,437,En Couple,2,false,189 VS 38
44,M,475,En Couple,0,false,297 YE 76
35,M,714,En Couple,2,false,7748 RF 98
22,F,484,Célibataire,0,false,4191 WZ 21
20,M,568,En Couple,2,false,19 RJ 41
34,F,1003,En Couple,4,false,5210 OC 27
41,M,190,Célibataire,0,false,7227 ZA 59
60,M,1288,En Couple,4,false,6256 HP 54
42,?,969,En Couple, ,false,7973 MB 86
45,F,1079,Célibataire,0,false,3279 ME 21
54,M,1288,En Couple,3,false,7207 MS 37
18,M,469,Célibataire,0,false,4898 UY 49
20,Homme,246,Célibataire,0,false,5966 SI 21
21,M,845,Seule,1,false,6923 WW 40
28,M,517,En Couple,1,false,6707 IN 20
23,M,580,En Couple,0,false,8583 BE 77
35,M,1047,En Couple,0,false,8616 RK 91
39,M,494,Célibataire,0,false,5887 QL 57
18,F,190,En Couple,4,false,4297 RI 45
45,M,423,Célibataire,0,false,8387 DD 83
54,M,202,En Couple,3,false,606 ZX 17
35,F,527,En Couple,0,false,1854 FH 76
21,M,181,Célibataire,0,false,4597 EZ 43
81,M,563,En Couple,0,false,7879 CP 37
59,M,574,En Couple,1,false,3705 IT 69
77,M,1387,En Couple,4,false,6283 DO 86
59,M,495,En Couple,2,false,3392 OI 64
69,Féminin,189,En Couple,4,false,6502 FE 57
33,F,237,En Couple,1,false,8886 HI 11
44,M,425,En Couple,2,false,5977 LU 20
79,M,1339,En Couple,3,false,52 ND 40
42,F,167,En Couple,0,true,3058 MM 38
45,M,537,En Couple,0,true,541 BV 24
35,F,814,Célibataire,0,false,5129 YJ 41
71,M,916, ,1,true,1933 IZ 55
24,M,1260,En Couple,0,false,1311 WO 66
38,M,189,En Couple,3,true,2778 AK 59
34,F,475,En Couple,4,true,3134 DK 20
44,F,1299,En Couple,4,false,1381 RT 37
32,M,542,En Couple,1,true,45 LY 26
32,M,574,Célibataire,0,false,6615 MP 66
53,M,549,En Couple,2,false,8475 LQ 15
19,M,1336,En Couple,2,true,3366 GW 37
27,M,422,En Couple,4,false,7777 SD 62
78,M,419,En Couple,0,false,2575 MH 89
80,M,423,Célibataire,0,false,5459 VF 38
71,F,499,Seule,2,false,1851 PA 59
39,F,236,En Couple,2,false,3309 RZ 70
50,M,407,Célibataire,0,false,6764 PY 77
43,M,1252,Célibataire,0,false,4871 II 94
18,M,566,En Couple,4,true,5678 CE 94
32,M,196,Célibataire,0,false,9810 AF 44
73,F,419,Célibataire,0,false,8248 QI 39
18,F,1332,En Couple,1,true,1738 XU 84
24,F,1132,Célibataire,0,false,7306 FS 76
26,F,431,Seule,3,false,9924 NR 64
34,M,590,En Couple,2,false,607 KX 80
59,F,1013,En Couple,3,false,3087 BB 13
36,F,846,Célibataire,0,false,906 DW 97
50,M,1126,En Couple,0,false,6788 BG 19
42,M,1012,En Couple,4,true,7290 NS 52
25,F,590,Célibataire,0,false,8008 QR 76
45,F,1056,Seule,3,false,247 VW 40
27,M,1266,Célibataire,0,false,439 WS 89
21,M,461,Célibataire,0,false,8068 XH 22
30,F,187,En Couple,1,false,8392 EW 34
48,F,206,En Couple,0,false,2013 MX 52
83,M,580,En Couple,1,false,637 KW 78
53,M,588,En Couple,1,false,9912 IX 90
20,F,1349,En Couple,2,false,8801 YS 20
21,M,479,En Couple,0,true,438 GC 27
19,F,572,En Couple,3,false,9434 UQ 40
18,M,597,En Couple,2,false,6000 DP 68
39,F,505,Célibataire,0,false,3222 IA 11
68,M,1030,En Couple,2,false,4380 QI 27
58,F,822,En Couple,4,false,8911 VB 91
75,M,155,En Couple,3,true,8839 GI 73
23,M,241,En Couple,1,true,1561 RA 19
49,M,438,Célibataire,0,false,8201 FG 54
78,M,1393,En Couple,1,false,7472 YZ 18
69,M,572,En Couple,3,false,3958 MZ 74
25,M,195,En Couple,4,false,8157 FV 73
56,F,429,En Couple,-1,false,8313 BO 76
19,M,507,En Couple,4,true,3839 AL 10
61,F,469,En Couple,0,true,4697 DT 40
43,Homme,1214,En Couple,0,false,2532 NT 97
70,M,700,Célibataire,0,false,1542 AR 86
19,F,765,En Couple,2,false,2751 TF 55
25,M,796,En Couple,2,false,7307 GU 49
28,M,1157,En Couple,2,true,1 YY 41
51,M,240,En Couple,0,false,5227 XB 13
31,F,808,En Couple,4,false,8322 XC 69
73,M,1006,En Couple,0,false,5061 IL 36
64,M,448,Seule,1,false,1478 GC 40
31,M,596,Célibataire,0,false,8785 OJ 91
75,M,564,En Couple,1,false,490 GO 52
20,M,1316,Célibataire,0,false,5010 UM 16
44,F,1266,Célibataire,0,false,2997 RO 42
39,M,477,En Couple,4,false,4019 EQ 52
22,M,1391,En Couple,2,false,5178 UM 21
33,F,437,En Couple,0,false,5436 IL 79
21,M,916,En Couple,3,false,2210 JB 63
27,Masculin,749,Célibataire,0,false,317 KS 76
40,M,214,Seule,2,false,7428 ZY 97
25,M,483,En Couple,2,false,159 NY 97
39,F,1057,En Couple,0,true,7023 UP 79
18,M,883,En Couple,2,false,7352 PF 72
77,F,568,En Couple,4,true,524 GB 75
20,M,540,Seule,3,false,4037 LC 80
81,M,592,En Couple,4,false,2894 PO 24
30,M,198,En Couple,2,false,5982 LA 31
48,M,1258,En Couple,1,false,1491 MD 28
53,M,1014,En Couple,1,false,2487 VS 58
37,M,1115,Célibataire,0,false,5393 GT 25
37,M,986,Célibataire,0,false,955 GD 38
48,F,151,En Couple,4,false,3227 SB 64
72,M,1312,En Couple,0,false,1889 GP 11
23,M,599,Seule,3,false,8636 QR 58
39,M,1347,En Couple,1,false,7929 KX 15
25,M,576,En Couple,1,false,8185 VJ 14
66,M,526,Célibataire,0,false,7261 XX 83
58,F,558,En Couple,3,false,5873 ZM 48
56,Masculin,444,Célibataire,0,false,130 RM 44
50,M,236,Seule,1,false,6605 IE 90
55,M,1380,Célibataire,0,false,6038 LF 92
58,M,453,Célibataire,0,false,4674 KQ 81
64,M,566,En Couple,3,false,4513 VW 29
71,Masculin,1112,En Couple,3,false,5003 XO 57
28,M,158,En Couple,0,false,8870 QP 20
42,F,198,En Couple,1,true,1425 VK 12
38,F,1114,Célibataire,0,false,1856 PJ 26
22,M,573,Célibataire,0,false,5381 SU 95
27,F,210,Célibataire,0,false,3495 XF 59
55,M,440,Célibataire,0,false,8194 LB 11
58,M,1123,En Couple,0,false,9659 WF 51
74,M,448,En Couple,4,false,9853 YJ 74
83,M,569,En Couple,3,true,7141 JB 98
42,M,528,En Couple,1,false,518 SZ 81
22,F,1301,Célibataire,0,false,7866 TL 12
79,M,505,En Couple,4,true,2055 AC 41
 ,M,1096,En Couple,3,false,4505 JT 23
39,M,594,En Couple,2,false,8993 PE 70
82,M,152,En Couple,2,false,1514 QC 71
37,M,222,Célibataire,0,false,3715 YA 81
31,M,599,Célibataire,0,false,2942 QX 67
25,M,246,Célibataire,0,false,7989 BV 13
70,M,1204,Célibataire,0,false,9683 ST 53
19,M,237,En Couple,0,true,5830 UY 31
79,M,176,Célibataire,0,false,8575 DE 21
28,F,579,En Couple,0,false,4179 DO 71
21,M,493,En Couple,4,false,5618 SC 60
25,M,152,Célibataire,0,false,9345 AQ 78
48,M,1322,En Couple,3,false,5574 UQ 34
58,M,773,Célibataire,0,false,992 WR 40
52,M,1038,En Couple,1,false,32 BM 13
57,M,860,En Couple,4,true,135 VL 26
59,M,470,En Couple,1,false,6990 TK 21
37,M,579,En Couple,0,false,9004 LP 15
49,Féminin,1088,En Couple,3,false,5480 TC 37
78,M,180,Seule,1,false,4075 QB 95
71,F,844,En Couple,4,false,5792 QZ 57
20,M,1341,Célibataire,0,false,5516 PY 13
29,M,459,Célibataire,0,false,2564 ON 82
26,F,597,En Couple,0,true,5279 HN 55
19,M,1069,En Couple,0,false,7145 VS 15
50,M,576,En Couple,3,false,1744 PA 43
31,M,447,En Couple,1,false,6031 OT 67
36,F,406,Célibataire,0,false,5013 CA 87
29,M,1354,En Couple,0,true,1569 KD 59
80,M,1356,En Couple,4,false,2444 LQ 59
39,M,465,N/D,1,true,8899 RF 51
47,M,575,En Couple,1,false,3472 IR 64
75,M,515,En Couple,1,true,2548 ZW 59
52,M,1195,En Couple,0,false,1059 AV 10
31,M,449,En Couple,2,false,2476 FR 43
22,M,249,En Couple,4,false,2931 TJ 98
46,M,797,Seule,2,false,5836 FB 22
47,F,1031,En Couple,0,true,7014 YK 91
66,F,1204,En Couple,3,false,4930 XV 58
83,M,163,En Couple,1,false,6159 HJ 35
38,M,170,En Couple,4,false,3700 JZ 51
18,M,592,En Couple,3,false,1049 GX 27
30,F,424,En Couple,3,false,6610 UD 47
26,M,541,En Couple,4,false,9496 HA 59
28,M,1396,Seule,3,false,614 KA 95
29,M,1053,En Couple,1,false,6877 IS 27
57,F,508,En Couple,0,false,2548 SC 84
19,M,548,Célibataire,0,false,8304 SL 59
43,F,784,Célibataire,0,false,2748 PD 15
43,M,534,Seule,3,false,8789 SU 94
60,F,578,En Couple,2,true,5957 OZ 55
65,M,758,En Couple,3,false,7658 WF 29
24,M,236,Célibataire,0,false,4881 SP 84
45,F,1260,Célibataire,0,false,5316 LU 60
82,M,1093,En Couple,2,false,3342 KR 29
34,M,554,En Couple,2,false,3223 JX 14
25,F,562,Célibataire,0,false,8209 VR 30
47,M,247,En Couple,2,false,8621 CH 62
52,F,505,Célibataire,0,false,4714 JN 46
52,F,1195,En Couple,2,false,2667 PT 28
31,M,501,En Couple,0,false,3428 VO 26
18,M,183,En Couple,0,false,8609 SZ 13
25,F,566,Célibataire,0,false,5139 BR 89
22,M,504,En Couple,1,false,600 RP 74
21,F,1011,En Couple,2,true,758 VD 47
49,F,445,Célibataire,0,false,3507 UJ 62
44,M,868,En Couple,1,false,6692 TS 81
46,M,464,En Couple,4,false,5440 GB 87
19,F,808,En Couple,2,false,7680 VG 75
62,M,405,Célibataire,0,false,3942 IL 38
26,M,1077,Célibataire,0,false,6743 WB 94
20,M,414,En Couple,4,false,7879 SV 62
70,M,202,Célibataire,0,false,8015 GG 35
42,M,834,En Couple,2,true,445 UQ 52
54,F,529,En Couple,3,true,4664 CU 45
20,F,981,En Couple,3,false,1837 XF 90
36,F,543,En Couple,2,false,7388 PX 63
52,M,579,En Couple,2,true,5129 EJ 25
23,F,207,Célibataire,0,false,8223 GA 21
68,M,206,En Couple,2,false,2135 KV 63
19,F,429,Célibataire,0,false,8769 IB 16
46,M,589,En Couple,1,true,6461 EX 74
33,M,1146,Célibataire,0,false,9817 RZ 88
47,M,445,Célibataire,0,false,1703 SV 60
68,F,781,Célibataire,0,false,2521 GK 72
74,M,1285,Célibataire,0,false,8876 MP 56
28,F,991,En Couple,3,false,9518 WE 47
84,M,179,Marié(e),2,true,5198 IJ 47
38,M,158,Célibataire,0,false,7007 TX 13
49,M,444,En Couple,0,false,8792 PF 13
22,M,409,Célibataire,0,false,7611 LY 38
37,M,465,En Couple,2,false,8288 IK 36
49,F,851,Célibataire,0,false,1565 VY 34
61,F,460,Seule,1,false,2500 QD 43
18,F,504,En Couple,2,false,9 QW 21
21,M,1024,En Couple,2,false,5726 QZ 17
37,M,170,Célibataire,0,false,798 QD 31
35,M,987,En Couple,0,false,7410 CQ 86
47,M,530,En Couple,1,true,1987 XI 49
29,M,498,Célibataire,0,false,5677 OH 75
71,M,960,En Couple,1,false,9899 VU 90
19,F,185,En Couple,0,false,8549 CT 80
73,F,951,En Couple,1,false,8163 DO 98
45,M,191,Célibataire,0,false,7245 OH 51
60,M,589,Seule,3,false,8401 OK 29
42,M,567,En Couple,2,true,1727 RC 74
51,M,423,En Couple,0,true,1380 BS 93
57,F,498,En Couple,4,false,9297 VW 78
71,M,219,En Couple,2,false,5512 OI 57
82,M,1077,Célibataire,0,false,9923 PP 39
74,M,1139,Célibataire,0,false,5793 KV 29
52,F,556,Célibataire,0,false,2189 HN 49
26,M,403,En Couple,2,false,1804 VF 54
27,F,242,En Couple,0,false,2355 VB 43
29,M,530,Célibataire,0,false,2147 QH 45
78,F,1388,En Couple,0,false,7954 XK 92
41,F,1282,En Couple,2,false,343 HT 93
51,M,516,Célibataire,0,false,3794 KZ 37
46,M,190,En Couple,2,false,1573 DT 97
18,M,533,Seule,3,false,6499 BS 65
26,F,539,En Couple,2,false,3028 SN 27
32,M,205,En Couple,4,false,6226 RP 57
44,M,167,En Couple,4,false,7571 BH 37
24,F,1349,En Couple,2,false,9203 DY 56
69,M,184,En Couple,2,true,2477 JS 54
31,M,793,En Couple,3,true,8725 CF 17
40,M,439,Célibataire,0,false,9990 XN 26
75,M,1072,En Couple,2,false,4691 CE 35
30,F,543,Célibataire,0,false,6908 SV 82
37,M,572,Célibataire,0,false,287 AV 10
42,M,587,Célibataire,0,false,9560 QJ 65
23,M,737,Seule,1,false,4231 YI 47
42,F,243,Célibataire,0,false,5853 MQ 59
45,F,496,Célibataire,0,false,2354 HD 22
20,M,460,En Couple,1,false,9541 TG 51
80,M,236,En Couple,2,true,4657 FS 80
21,M,1182,En Couple,3, ,3945 MH 51
46,M,919,Célibataire,0,false,3152 OM 18
23,M,429,En Couple,0,false,7815 GX 62
83,M,492,Célibataire,0,false,5140 MR 82
72,M,179,En Couple,2,true,827 TC 36
35,F,517,Célibataire,0,false,1452 DS 91
31,F,565,Seule,3,false,9208 XH 13
28,M,446,Célibataire,0,false,9297 OU 63
83,M,165,En Couple,4,false,9630 HA 75
30,F,181,En Couple,1,false,4504 FU 69
22,M,448,Célibataire,0,false,4515 CK 42
27,M,908,En Couple,1,false,92 XT 89
74,M,158,Célibataire,0,false,8604 HP 65
46,M,829,N/D,0,false,662 OS 69
19,F,573,En Couple,4,false,9459 GN 26
18,M,241,Célibataire,0,false,9639 HR 19
35,F,569,En Couple,2,false,6543 NG 17
18,M,1250,En Couple,3,false,6794 MA 76
32,F,212,En Couple,2,true,5409 QV 23
60,M,161,En Couple,3,true,4388 LD 47
45,M,219,En Couple,3,false,5571 IS 52
67,F,590,Célibataire,0,false,917 EU 24
60,M,200,En Couple,0,false,8937 XJ 22
55,M,581,En Couple,3,false,5735 IN 26
28,F,179,En Couple,1,false,5633 EY 86
63,M,526,Célibataire,0,false,6715 DN 56
26,F,181,En Couple,0,true,1012 BJ 72
42,M,565,En Couple,4,false,8464 MH 41
59,F,1292,En Couple,3,false,1508 JS 10
35,M,583,En Couple,1,false,3822 SC 81
51,M,836,?,1,false,1102 OM 23
55,F,197,En Couple,4,false,4452 YG 13
57,F,158,En Couple,4,false,3095 FU 10
59,F,940,En Couple,3,false,3423 IL 63
81,M,536,En Couple,4,false,2449 MM 72
71,M,530,En Couple,4,false,4645 DE 56
43,F,198,En Couple,2,true,8772 DE 68
33,M,1203,Célibataire,0,false,3827 HV 70
19,F,221,En Couple,1,false,5607 OR 16
39,M,495,En Couple,4,false,2468 RQ 76
27,M,781,Seule,1,false,4550 FH 79
22,M,927,Célibataire,0,false,9243 BV 73
23,F,164,En Couple,4,false,7403 ET 17
79,M,492,En Couple,1,false,1637 XK 35
40,M,533,Célibataire,0,false,1447 OJ 17
46,F,515,Célibataire,0,false,5561 YD 31
25,F,182,En Couple,4,false,1511 SV 75
84,M,464,En Couple,2,true,1433 BD 15
23,M,478,Célibataire,0,false,9281 LB 45
68,M,1274,En Couple,3,false,9009 YP 71
23,Homme,548,En Couple,2,false,4230 ZR 18
37,M,465,En Couple,4,false,6020 AD 75
75,M,424,Célibataire,0,false,3840 HK 75
24,M,545,En Couple,2,false,7060 WX 86
59,M,192,Célibataire,0,false,6050 HH 86
25,M,152,Célibataire,0,false,1993 RN 52
20,M,723,En Couple,1,false,6493 EP 31
72,F,244,Célibataire,0,false,6358 ON 80
57,F,1117,Seule,2,false,9959 IR 38
24,M,843,En Couple,2,false,536 JF 43
23,F,522,En Couple,1,false,4355 DG 41
34,M,946,En Couple,0,false,5448 II 87
20,F,1141,Célibataire,0,false,781 TG 46
21,M,1354,Célibataire,0,false,8342 VY 84
43,M,998,Célibataire,0,false,1500 EZ 48
49,F,569,Célibataire,0,false,4189 MJ 67
20,F,1293,En Couple,2,false,4561 YO 81
32,M,543,En Couple,2,false,3012 FC 94
68,Femme,418,En Couple,1,false,5060 AY 70
31,F,586,Célibataire,0,false,3113 HE 69
47,F,1201,Célibataire,0,false,2332 HO 56
77,M,497,En Couple,0,false,2325 DI 14
56,F,199,En Couple,1,false,7589 MW 80
46,M,856,En Couple,3,false,2892 OI 13
80,M,984,Célibataire,0,false,8168 ZN 16
80,F,427,Célibataire,0,false,3980 VW 35
33,F,1399,En Couple,0,false,3928 XY 34
20,M,181,Célibataire,0,false,8906 KG 39
45,M,554,En Couple,1,true,6881 OE 47
28,F,462,Célibataire,0,false,3610 SX 98
26,M,1185,Seule,2,false,6041 XL 65
24,M,561,En Couple,3,false,5574 UA 78
41,M,718,En Couple,0,true,4689 AL 40
30,M,585,Célibataire,0,false,211 XH 94
29,F,589,Célibataire,0,false,1827 ZT 20
20,M,225,Célibataire,0,false,9153 HH 11
26,F,230,En Couple,0,true,3842 IE 66
26,M,772,Célibataire,0,false,1289 CL 10
51,M,405,Célibataire,0,false,895 VH 23
30,M,1169,En Couple,2,false,2814 CW 18
20,M,1172,Célibataire,0,false,3648 JF 96
54,M,490,En Couple,3,false,4366 TX 78
40,M,1100,Célibataire,0,false,5832 PL 72
24,?,1109,En Couple,1,false,8961 SN 86
39,F,526,Célibataire,0,false,8675 GP 92
48,M,1238,En Couple,4,false,6022 HS 54
20,M,1221,En Couple,2,false,5512 WT 10
20,M,539,En Couple,2,false,9834 AQ 15
41,M,1286,Célibataire,0,false,9495 ZA 40
33,M,1019,Seule,2,false,1506 JL 16
37,M,487,En Couple,1,false,4587 BT 56
20,M,498,Célibataire,0,false,637 IY 32
53,M,492,En Couple,2,true,8551 IX 33
69,M,202,En Couple,2,false,6309 KS 94
37,M,239,En Couple,1,true,5642 RU 64
56,M,410,En Couple,4,true,9660 FO 64
66,M,418,En Couple,2,false,7260 BV 72
44,M,1094,En Couple,3,false,9697 OF 86
28,M,232,Célibataire,0,false,9984 YF 29
46,F,944,En Couple,2,false,2538 DB 30
42,M,485,En Couple,1,false,802 PD 14
27,M,449,Seule,2,false,841 RR 78
74,M,421,Célibataire,0,false,7128 IR 25
45,M,569,Célibataire,0,false,3178 MF 88
64,M,432,En Couple,2,false,3779 CP 69
73,M,242,En Couple,2,false,4912 OA 83
24,M,1226,Célibataire,0,false,6300 XA 94
46,F,222,En Couple,2,false,7597 TR 62
75,M,227,Seule,1,false,569 CX 24
55,M,403,En Couple,2,true,1336 SL 79
23,M,498,En Couple,4,false,919 FY 32
44,M,873,En Couple,0,true,1526 HT 96
58,M,707,En Couple,1,false,5391 VB 77
36,M,205,En Couple,2,false,963 XW 59
19,M,543,Célibataire,0,false,243 YN 63
54,F,583,En Couple,1,false,520 TU 43
42,F,1131,En Couple,1,true,4879 UH 22
19,M,512,En Couple,0,true,9556 GN 66
33,M,1332,Célibataire,0,false,7322 EC 98
61,M,218,En Couple,3,false,9973 RR 23
26,M,452,En Couple,0,false,2036 EW 83
28,M,484,En Couple,3,false,3598 OG 62
24,M,584,En Couple,1,false,1160 OF 76
56,M,1109,En Couple,1,false,1024 JE 75
18,M,430,En Couple,3,false,2281 AI 57
26,M,403,En Couple,0,false,5763 HR 75
32,M,424,En Couple,0,false,1206 NZ 47
68,M,436,En Couple,2,false,1435 FT 22
48,M,859,Célibataire,0,false,3351 FI 68
51,Masculin,1351,En Couple,1,false,4229 LG 46
29,F,527,En Couple,2,false,9455 YP 54
44,M,468,En Couple,3,false,3977 PT 13
19,M,1086,En Couple,1,false,5258 MJ 91
24,M,570,En Couple,0,false,5943 TS 22
23,M,1149,En Couple,2,false,4558 OO 62
35,M,405,En Couple,1,false,4988 IH 91
28,F,179,Célibataire,0,false,1979 TA 91
34,M,582,En Couple,3,true,7004 EF 14
23,M,437,En Couple,3,false,573 WW 76
49,M,929,Célibataire,0,false,39 SM 30
58,M,461,Seule,1,false,6438 DZ 25
60,M,441,En Couple,3,false,3173 DJ 14
84,M,446,Célibataire,0,false,9174 DL 43
54,M,489,Célibataire,0,false,4156 IF 73
27,M,499,Célibataire,0,false,3477 CE 60
24,M,582,En Couple,3,false,8086 AC 85
63,F,708,Célibataire,0,false,5429 LN 44
59,M,578,?,2,false,1453 GX 79
23,M,1035,En Couple,1,false,9346 UX 43
36,M,935,Célibataire,0,false,2226 AQ 89
59,M,549,En Couple,0,false,2115 YP 21
48,M,173,Célibataire,0,false,5598 PG 38
84,M,983,En Couple,0,false,4376 UN 76
25,M,430,En Couple,1,false,169 RT 68
60,M,502,Seule,2,false,2763 ER 43
20,M,1281,En Couple,0,false,7393 JJ 88
71,M,525,Célibataire,0,false,8353 VC 83
30,M,866,Célibataire,0,false,7488 RR 39
39,M,514,Célibataire,0,false,6696 LK 88
58,M,207,En Couple,0,false,9336 ZA 68
23,M,224,En Couple,0,false,4952 TH 42
48,F,1131,Seule,2,false,1080 HJ 38
53,M,533,En Couple,4,true,6052 BF 17
